model,numa,system,stage,batch,n_repeats,pp_tokens,tg_tokens,speed_pp_median,speed_tg_median,speed_total_median,speed_pp_std,speed_tg_std
qwen3_4b,4n,fj,batch,4,3,64,32,24.81,2.631,6.49,0.54,0.024
qwen3_4b,4n,fj,batch,8,3,64,32,24.94,5.073,10.82,0.45,0.518
qwen3_4b,4n,fj,batch,16,3,64,32,24.37,10.732,17.12,0.38,0.822
qwen3_4b,4n,fj,decode,1,3,64,64,18.94,0.736,1.42,1.53,0.244
qwen3_4b,4n,fj,prefill,1,9,128,1,23.78,0.826,22.22,2.07,0.056
qwen3_4b,4n,fjtp,batch,1,3,64,32,64.83,1.935,5.48,2.6,0.146
qwen3_4b,4n,fjtp,batch,4,3,64,32,96.6,7.42,19.29,3.99,0.515
qwen3_4b,4n,fjtp,batch,8,3,64,32,96.68,14.031,32.62,3.85,0.85
qwen3_4b,4n,fjtp,batch,16,3,64,32,93.86,25.102,49.06,2.87,1.1
qwen3_4b,4n,fjtp,decode,1,3,64,64,64.03,2.027,3.93,2.23,0.151
qwen3_4b,4n,fjtp,prefill,1,9,128,1,95.17,1.918,83.57,9.86,0.162
qwen3_4b,4n,task,batch,1,3,64,32,55.58,3.265,8.74,1.04,0.017
qwen3_4b,4n,task,batch,4,3,64,32,73.43,10.172,23.82,1.29,0.047
qwen3_4b,4n,task,batch,8,3,64,32,72.53,16.304,33.85,0.49,0.122
qwen3_4b,4n,task,batch,16,3,64,32,60.03,22.806,38.88,0.76,0.123
qwen3_4b,4n,task,decode,1,3,64,64,56.07,3.275,6.18,1.01,0.018
qwen3_4b,4n,task,prefill,1,9,128,1,72.28,3.193,67.95,4.03,0.045
qwen3_4b,8n,fj,batch,1,3,64,32,15.75,0.646,1.8,1.07,0.043
qwen3_4b,8n,fj,batch,4,3,64,32,14.84,1.615,3.98,0.43,0.064
qwen3_4b,8n,fj,batch,8,3,64,32,14.48,2.844,6.07,0.68,0.231
qwen3_4b,8n,fj,batch,16,3,64,32,14.19,6.147,9.88,0.34,0.42
qwen3_4b,8n,fj,decode,1,3,64,64,17.9,0.754,1.45,1.44,0.043
qwen3_4b,8n,fj,prefill,1,9,128,1,14.73,0.607,13.43,0.44,0.035
qwen3_4b,8n,fjtp,batch,1,3,64,32,37.09,0.829,2.38,5.12,0.134
qwen3_4b,8n,fjtp,batch,4,3,64,32,74.57,2.945,8.19,5.16,0.414
qwen3_4b,8n,fjtp,batch,8,3,64,32,75.31,5.987,15.5,5.58,1.025
qwen3_4b,8n,fjtp,batch,16,3,64,32,74.03,11.302,25.98,5.54,1.735
qwen3_4b,8n,fjtp,decode,1,3,64,64,37.78,0.878,1.72,5.49,0.152
qwen3_4b,8n,fjtp,prefill,1,9,128,1,73.95,0.904,57.57,10.99,0.144
qwen3_4b,8n,task,batch,1,3,64,32,42.8,2.433,6.55,0.41,0.432
qwen3_4b,8n,task,batch,4,3,64,32,46.61,7.096,16.32,0.34,0.985
qwen3_4b,8n,task,batch,8,3,64,32,45.8,11.306,22.61,0.62,1.117
qwen3_4b,8n,task,batch,16,3,64,32,36.08,15.653,25.14,1.23,0.947
qwen3_4b,8n,task,decode,1,3,64,64,43.4,2.606,4.92,0.13,0.363
qwen3_4b,8n,task,prefill,1,9,128,1,48.09,2.525,44.56,1.22,0.293
